state,isin,qty,label,name,issuer,country,instr_type,rating,type,ccy,dirty_price,hc,mv_pre,mv
trac,FR2141820,1000000,TRAC,Credit Agricole 5.500% 2033,CREDIT AGRICOLE SA,FR,Bond,A,Snr Preferred,EUR,93.46,0.98,934600,915908
edit,US3119114,2500000,TRAC,Citigroup 3.125% 2027,CITIGROUP INC,US,FRN,BBB-,Snr Unsecured,USD,107.27,0.875,2681750,2346531
trac,DE6519072,5000000,TRAC,Commerzbank 4.000% 2031,COMMERZBANK AG,DE,Bond,A+,Snr Preferred,EUR,102.07,0.95,5103500,4848325
trac,NL6208709,2500000,TRAC,Ahold Delhaize 5.500% 2031,KONINKLIJKE AHOLD NV,NL,MTN,BBB+,Snr Preferred,EUR,99.67,0.85,2491750,2117988
trac,US3750380,5000000,TRAC,Verizon 4.000% 2027,VERIZON COMMUNICATIONS,US,Bond,BBB,Snr Non-Pref,USD,95.9,0.85,4795000,4075750
trac,NO6966742,1000000,TRAC,DNB Bank 5.500% 2027,DNB BANK ASA,NO,Bond,BBB,Tier 2,EUR,104.55,0.85,1045500,888675
edit,CA2707565,2500000,TRAC,Royal Bank of Canada 3.750% 2030,ROYAL BANK OF CANADA,CA,Bond,A-,Covered,USD,100.1,0.85,2502500,2127125
trac,ES6603383,5000000,TRAC,Iberdrola 3.750% 2034,IBERDROLA SA,ES,MTN,A,Snr Preferred,EUR,91.91,0.925,4595500,4250838
trac,DE6649621,2500000,TRAC,Commerzbank 5.500% 2027,COMMERZBANK AG,DE,Bond,A+,Snr Unsecured,EUR,107.92,0.9,2698000,2428200
trac,US8346796,2500000,TRAC,Goldman Sachs 4.500% 2034,GOLDMAN SACHS GROUP,US,FRN,BBB+,Covered,USD,107.71,0.98,2692750,2638895
trac,US4892218,5000000,TRAC,Verizon 3.750% 2028,VERIZON COMMUNICATIONS,US,Bond,BBB+,Covered,USD,95.57,0.85,4778500,4061725
trac,DE6800061,5000000,TRAC,Deutsche Bank 3.750% 2031,DEUTSCHE BANK AG,DE,FRN,BBB,Snr Non-Pref,EUR,104.52,0.98,5226000,5121480
edit,FI7473388,250000,TRAC,Nordea Bank 5.125% 2031,NORDEA BANK ABP,FI,FRN,AA-,Snr Preferred,EUR,98.49,0.875,246225,215447
trac,US5644587,250000,TRAC,Verizon 5.125% 2034,VERIZON COMMUNICATIONS,US,Bond,BBB+,Covered,USD,99.22,0.9,248050,223245
trac,US9048888,2500000,TRAC,Goldman Sachs 5.500% 2034,GOLDMAN SACHS GROUP,US,MTN,BBB,Tier 2,USD,98.66,0.98,2466500,2417170
trac,XS8954458,1000000,TRAC,NatWest Group 4.000% 2027,NATWEST GROUP PLC,GB,MTN,A-,Snr Preferred,GBP,94.64,0.875,946400,828100
trac,XS2511084,2500000,TRAC,Barclays 5.500% 2032,BARCLAYS PLC,GB,FRN,A,Snr Unsecured,GBP,103.48,0.85,2587000,2198950
trac,DE8066408,5000000,TRAC,Commerzbank 4.500% 2032,COMMERZBANK AG,DE,Bond,A+,Covered,EUR,105.94,0.98,5297000,5191060
trac,DE7687601,5000000,TRAC,Commerzbank 5.500% 2032,COMMERZBANK AG,DE,FRN,A,Tier 2,EUR,99.85,0.875,4992500,4368438
trac,US6578759,1000000,TRAC,JPMorgan 4.500% 2032,JPMORGAN CHASE & CO,US,FRN,BBB-,Covered,USD,94.63,0.875,946300,828012
trac,XS1480204,2500000,TRAC,Barclays 5.500% 2028,BARCLAYS PLC,GB,MTN,A-,Snr Unsecured,GBP,107.03,0.98,2675750,2622235
trac,NL6177120,500000,TRAC,Ahold Delhaize 4.000% 2029,KONINKLIJKE AHOLD NV,NL,FRN,A+,Snr Preferred,EUR,95.95,0.98,479750,470155
add,DE9653446,2500000,SUB IN,Allianz 3.750% 2027,ALLIANZ SE,DE,FRN,BBB-,Covered,EUR,93.63,0.85,2340750,1989638
add,FR7061676,1000000,SUB IN,Societe Generale 5.125% 2033,SOCIETE GENERALE SA,FR,FRN,BBB+,Snr Unsecured,EUR,93.87,0.85,938700,797895
